county,new_cases
Adams,42
Allegheny,192
Armstrong,6
Beaver,33
Bedford,8
Berks,299
Blair,5
Bradford,1
Bucks,362
Butler,27
Cambria,2
Cameron,0
Carbon,18
Centre,9
Chester,648
Clarion,0
Clearfield,7
Clinton,7
Columbia,21
Crawford,8
Cumberland,70
Dauphin,362
Delaware,455
Elk,0
Erie,155
Fayette,0
Forest,0
Franklin,52
Fulton,1
Greene,0
Huntingdon,8
Indiana,3
Jefferson,9
Juniata,4
Lackawanna,81
Lancaster,518
Lawrence,11
Lebanon,150
Lehigh,195
Luzerne,131
Lycoming,7
McKean,1
Mercer,6
Mifflin,1
Monroe,36
Montgomery,1012
Montour,3
Northampton,235
Northumberland,32
Perry,20
Philadelphia,1698
Pike,6
Potter,7
Schuylkill,57
Snyder,17
Somerset,2
Sullivan,1
Susquehanna,57
Tioga,3
Union,17
Venango,7
Warren,2
Washington,11
Wayne,6
Westmoreland,19
Wyoming,2
York,143
